chunk_0000| An Occurrence at Owl Creek Bridge by Ambrose Bierce. Original narration by Nicholas Krause.| An Occurrence at Owl Creek Bridge by Ambrose Bierce. Original narration by Nicholas Krause.
chunk_0013| the ground, his left hand resting upon his right. Accepting the group of four at the center of the bridge, not a man moved. The company faced the bridge, staring at the| the ground, his left hand resting upon his right. Accepting the group of four at the center of the bridge, not a man moved. The company faced the bridge, staring at the
chunk_0014| The captain's| The captain's
chunk_0015| silent, observing the work of his subordinates, but making no sign. Death is a dignitary who, when he comes announced, is to be received with formal manner| silent, observing the work of his subordinates, but making no sign. Death is a dignitary who, when he comes announced, is to be received with formal manner
chunk_0016| of respect, even by those most familiar with him. In the code of military etiquette, silence and fixity are forms of deference.| of respect, even by those most familiar with him. In the code of military etiquette, silence and fixity are forms of deference.
chunk_0017| The man who was engaged in being hanged was apparently about thirty-five years of age. He was a civilian, if one might judge from his habits, which was that of a planter.| The man who was engaged in being hanged was apparently about thirty-five years of age. He was a civilian, if one might judge from his habits, which was that of a planter.
chunk_0018| features were good. A straight nose, firm mouth, broad forehead, from which his long, dark hair was combed straight back, falling behind his ears to the collar of his well| features were good. A straight nose, firm mouth, broad forehead, from which his long, dark hair was combed straight back, falling behind his ears to the collar of his well
chunk_0019| fitting frock coat. He wore a mustache and pointed beard, but no whiskers. His eyes were large and dark grey, and had a kindly expression which one would| fitting frock coat. He wore a mustache and pointed beard, but no whiskers. His eyes were large and dark grey, and had a kindly expression which one would
chunk_0020| hardly have expected in one whose neck was in the hemp. Evidently, this was no vulgar assassin. The liberal military code makes| hardly have expected in one whose neck was in the hemp. Evidently, this was no vulgar assassin. The liberal military code makes
chunk_0021| provisions for hanging many kinds of persons and gentlemen are not excluded. The preparations being complete, the two private soldiers stepped aside and| provisions for hanging many kinds of persons and gentlemen are not excluded. The preparations being complete, the two private soldiers stepped aside and
chunk_0022| and each drew away the plank upon which he had been standing. The sergeant turned to the captain, saluted, and placed himself immediately behind that officer, who in turn moved apart with| and each drew away the plank upon which he had been standing. The sergeant turned to the captain, saluted, and placed himself immediately behind that officer, who in turn moved apart with
chunk_0023| one piece. These movements left the condemned man and the sergeant standing on the two ends of the same plank, which spanned three of the cross-ties of the bridge. The end of the| one piece. These movements left the condemned man and the sergeant standing on the two ends of the same plank, which spanned three of the cross-ties of the bridge. The end of the
chunk_0024| upon which the civilians stood almost, but not quite, reached a fourth. This plank had been held in place by the weight of the captain. It was now held by that of the sergeant.| upon which the civilians stood almost, but not quite, reached a fourth. This plank had been held in place by the weight of the captain. It was now held by that of the sergeant.
chunk_0025| At a signal from the former, the latter would step aside, the plank would tilt, and the condemned man go down between two ties. The arrangement commended at the same time.| At a signal from the former, the latter would step aside, the plank would tilt, and the condemned man go down between two ties. The arrangement commended at the same time.
chunk_0026| itself to his judgment as simple and effective. His face had not been covered, nor his eyes bandaged. He looked a moment at his unsteadfast footing.| itself to his judgment as simple and effective. His face had not been covered, nor his eyes bandaged. He looked a moment at his unsteadfast footing.
chunk_0027| and let his gaze wander to the swirling water of the stream racing madly beneath his feet. A piece of dancing driftwood caught his attention, and his eyes followed it down the| and let his gaze wander to the swirling water of the stream racing madly beneath his feet. A piece of dancing driftwood caught his attention, and his eyes followed it down the
chunk_0028| current. How slowly it appeared to move! What a sluggish stream! He closed his eyes in order to fix his last thoughts upon his wife and children.| current. How slowly it appeared to move! What a sluggish stream! He closed his eyes in order to fix his last thoughts upon his wife and children.
chunk_0029| The water, touched to gold by the early sun, The brooding mists under the banks at some distance down the stream, The fort, the soldiers, the peace of drift| The water, touched to gold by the early sun, The brooding mists under the banks at some distance down the stream, The fort, the soldiers, the peace of drift
chunk_0030| All had distracted him, and now he became conscious of a new disturbance. Striking through the thought of his dear ones was a metallic percussion like the stroke of a blacksmith's| All had distracted him, and now he became conscious of a new disturbance. Striking through the thought of his dear ones was a metallic percussion like the stroke of a blacksmith's
chunk_0031| hammer upon the anvil. It had the same ringing quality. He wondered what it was, and whether immeasurably distant or nearby, it seemed both. Its recurrence| hammer upon the anvil. It had the same ringing quality. He wondered what it was, and whether immeasurably distant or nearby, it seemed both. Its recurrence
chunk_0032| was regular, but as slow as the tolling of a death-knell. He awaited each stoke with impatience and, he knew not why, apprehension.| was regular, but as slow as the tolling of a death-knell. He awaited each stoke with impatience and, he knew not why, apprehension.
chunk_0033| The intervals of silence grew progressively longer. The delays became maddening. With their greater infrequency, the sounds increased in strength and sharpness. They heard his ear like the throat of a lion.| The intervals of silence grew progressively longer. The delays became maddening. With their greater infrequency, the sounds increased in strength and sharpness. They heard his ear like the throat of a lion.
chunk_0034| thrust of a knife. He feared he would shriek. What he heard was the ticking of his watch. He unclosed his eyes and saw again the water below him.| thrust of a knife. He feared he would shriek. What he heard was the ticking of his watch. He unclosed his eyes and saw again the water below him.
chunk_0035| If I could free my hands, he thought, I might throw off the noose and spring into the stream. By diving, I could evade the bullets, and swimming vigorously...| If I could free my hands, he thought, I might throw off the noose and spring into the stream. By diving, I could evade the bullets, and swimming vigorously...
chunk_0036| reach the bank, take to the woods, and get away home. My home, thank God, is as yet outside their lines. My wife and little ones are| reach the bank, take to the woods, and get away home. My home, thank God, is as yet outside their lines. My wife and little ones are
chunk_0037| still beyond the invaders farthest advance as these thoughts which have here to be set down in words were flashed into the doomed man's brain| still beyond the invaders farthest advance as these thoughts which have here to be set down in words were flashed into the doomed man's brain
chunk_0038| rather than evolved from it, the captain nodded to the sergeant. The sergeant stepped aside. 2. Peyton Farquhar was a| rather than evolved from it, the captain nodded to the sergeant. The sergeant stepped aside. 2. Peyton Farquhar was a
chunk_0039| well-to-do planter of an old and highly respected Alabama family. Being a slave owner, and like other slave owners, a politician, he was naturally an original| well-to-do planter of an old and highly respected Alabama family. Being a slave owner, and like other slave owners, a politician, he was naturally an original
chunk_0040| and ardently devoted to the Southern cause. Circumstances of an imperious nature, which it is unnecessary to relate here, had prevented him from taking service with the gallows of the| and ardently devoted to the Southern cause. Circumstances of an imperious nature, which it is unnecessary to relate here, had prevented him from taking service with the gallows of the
chunk_0041| army that had fought the disastrous campaigns ending with the fall of Corinth, and he chafed under the inglorious restraint, longing for the release of his energies, the larger life| army that had fought the disastrous campaigns ending with the fall of Corinth, and he chafed under the inglorious restraint, longing for the release of his energies, the larger life
chunk_0042| of the soldier the opportunity for distinction. That opportunity, he felt, would come as it comes to all in wartime. Meanwhile, he did what he| of the soldier the opportunity for distinction. That opportunity, he felt, would come as it comes to all in wartime. Meanwhile, he did what he
chunk_0043| could. No service was too humble for him to perform in aid of the South, no adventure too perilous for him to undertake, if consistent with the character of a civilian who was, at| could. No service was too humble for him to perform in aid of the South, no adventure too perilous for him to undertake, if consistent with the character of a civilian who was, at
chunk_0044| heart a soldier, and who in good faith and without too much qualification assented to at least a part of the frankly villainous dictum that all is fair in love and| heart a soldier, and who in good faith and without too much qualification assented to at least a part of the frankly villainous dictum that all is fair in love and
chunk_0045| war. One evening while Farquharn and his wife were sitting on a rustic bench near the entrance to his grounds, a grey-clad soldier rode up to the gate and asked for a drink of| war. One evening while Farquharn and his wife were sitting on a rustic bench near the entrance to his grounds, a grey-clad soldier rode up to the gate and asked for a drink of
chunk_0046| of water. Mrs. Farquhar was only too happy to serve him with her own white hands. While she was fetching the water, her husband approached the dusty horseman| of water. Mrs. Farquhar was only too happy to serve him with her own white hands. While she was fetching the water, her husband approached the dusty horseman
chunk_0047| and inquired eagerly for news from the front. The Yanks are repairing the railroads, said the man, and are getting ready for another advance. They have reached the outpost,| and inquired eagerly for news from the front. The Yanks are repairing the railroads, said the man, and are getting ready for another advance. They have reached the outpost,
chunk_0048| The| The
chunk_0049| interfering with the railroad, its bridges, tunnels, or trains will be summarily hanged. I saw the order. How far is it to Owl Creek Bridge?| interfering with the railroad, its bridges, tunnels, or trains will be summarily hanged. I saw the order. How far is it to Owl Creek Bridge?
chunk_0050|" bridge?"" Farquhar asked. About thirty miles. Is there no force on this side of the creek? Only a picket post half a mile out on the railroad."|" bridge?"" Farquhar asked. About thirty miles. Is there no force on this side of the creek? Only a picket post half a mile out on the railroad."
chunk_0051| and a single sentinel at this end of the bridge. Suppose a man, a civilian and student of hanging, should elude the picket post and perhaps get the better of the sentinels.| and a single sentinel at this end of the bridge. Suppose a man, a civilian and student of hanging, should elude the picket post and perhaps get the better of the sentinels.
chunk_0052|" fentanyl,"" said Fargahar, smiling. What could he accomplish? The soldier reflected. I was there a month ago, he replied."|" fentanyl,"" said Fargahar, smiling. What could he accomplish? The soldier reflected. I was there a month ago, he replied."
chunk_0053| I observed that the flood of last winter had lodged a great quantity of driftwood against the wooden pier at this end of the bridge. It is now dry and would burn like tow.| I observed that the flood of last winter had lodged a great quantity of driftwood against the wooden pier at this end of the bridge. It is now dry and would burn like tow.
chunk_0054| The lady had now brought the water, which the soldier drank. He thanked her ceremoniously, bowed to her husband, and rode away. An hour later, after nightfall,| The lady had now brought the water, which the soldier drank. He thanked her ceremoniously, bowed to her husband, and rode away. An hour later, after nightfall,
chunk_0055| fall, he repassed the plantation, going northward in the direction from which he had come. He was a Federal Scout.| fall, he repassed the plantation, going northward in the direction from which he had come. He was a Federal Scout.
chunk_0056| As Paitan Farquhar fell straight downward through the bridge, he lost consciousness, and was as one already dead. From this state he was awakened.| As Paitan Farquhar fell straight downward through the bridge, he lost consciousness, and was as one already dead. From this state he was awakened.
chunk_0057|" ""'Ages later, it seemed to him, by the pain of a sharp presence upon his throat, followed by a sense of suffocation. Keen, poignant, agonizingly,"|" ""'Ages later, it seemed to him, by the pain of a sharp presence upon his throat, followed by a sense of suffocation. Keen, poignant, agonizingly,"
chunk_0058| knees seemed to shoot from his neck downward through every fiber of his body and limbs. These pains appeared to flash along well-defined lines of ramification,| knees seemed to shoot from his neck downward through every fiber of his body and limbs. These pains appeared to flash along well-defined lines of ramification,
chunk_0059| and to beat with an inconceivably rapid periodicity. They seemed like streams of pulsating fire heating him to an intolerable temperature.| and to beat with an inconceivably rapid periodicity. They seemed like streams of pulsating fire heating him to an intolerable temperature.
chunk_0060| his head, he was conscious of nothing but a feeling of fullness, of congestion. These sensations were unaccompanied by thought. The intellectual part| his head, he was conscious of nothing but a feeling of fullness, of congestion. These sensations were unaccompanied by thought. The intellectual part
chunk_0061| of his nature was already effaced. He had power only to feel, and feeling was torment. He was conscious of motion, encompassed in| of his nature was already effaced. He had power only to feel, and feeling was torment. He was conscious of motion, encompassed in
chunk_0062| in a luminous cloud of which he was now merely the fiery heart without material substance. He swung through unthinkable arcs of oscillation like a vast,| in a luminous cloud of which he was now merely the fiery heart without material substance. He swung through unthinkable arcs of oscillation like a vast,
chunk_0063| Then, all at once, with terrible suddenness, the light about him shot upward with the noise of a loud plash. A frightful roaring was in his ears.| Then, all at once, with terrible suddenness, the light about him shot upward with the noise of a loud plash. A frightful roaring was in his ears.
chunk_0064| and all was cold and dark the power of thought was restored he knew that the rope had broken and he had fallen into the stream there was no additional| and all was cold and dark the power of thought was restored he knew that the rope had broken and he had fallen into the stream there was no additional
chunk_0065| The noose about his neck was already suffocating him, and kept the water from his lungs. To die of hanging at the bottom of a river. The idea seemed to him to be a little too much.| The noose about his neck was already suffocating him, and kept the water from his lungs. To die of hanging at the bottom of a river. The idea seemed to him to be a little too much.
chunk_0066| ludicrous. He opened his eyes in the darkness and saw above him a gleam of light, but how distant, how inaccessible! He was still sinking.| ludicrous. He opened his eyes in the darkness and saw above him a gleam of light, but how distant, how inaccessible! He was still sinking.
chunk_0067| for the light became fainter and fainter until it was a mere glimmer. Then it began to grow and brighten, and he knew that he was rising toward the surface, knew it with reluctance,| for the light became fainter and fainter until it was a mere glimmer. Then it began to grow and brighten, and he knew that he was rising toward the surface, knew it with reluctance,
chunk_0068| for he was now very comfortable to be hanged and drowned he thought, that is not so bad but I do not wish to be shot no, I will not| for he was now very comfortable to be hanged and drowned he thought, that is not so bad but I do not wish to be shot no, I will not
chunk_0069|" be shot! That is not fair!"" He was not conscious of an effort, but a sharp pain in his wrist apprised him that he was trying to free his hands."|" be shot! That is not fair!"" He was not conscious of an effort, but a sharp pain in his wrist apprised him that he was trying to free his hands."
chunk_0070| He gave this struggle his attention as an idler might observe the feet of a juggler without interest in the outcome. What splendid effort, what magnificent, what super-spectacular| He gave this struggle his attention as an idler might observe the feet of a juggler without interest in the outcome. What splendid effort, what magnificent, what super-spectacular
chunk_0071| human strength. Ah, that was a fine endeavor. Bravo! The cord fell away, his arms parted and floated upward, the hands dimly seen on each of his hands.| human strength. Ah, that was a fine endeavor. Bravo! The cord fell away, his arms parted and floated upward, the hands dimly seen on each of his hands.
chunk_0072| side in the glowing light. He watched them with a new interest as first one and then the other pounced upon the noose at his neck. They tore it away.| side in the glowing light. He watched them with a new interest as first one and then the other pounced upon the noose at his neck. They tore it away.
chunk_0073| way and thrust it fiercely aside, its undulations resembling those of a water snake. Put it back! Put it back! He thought he shouted these words to his pang that| way and thrust it fiercely aside, its undulations resembling those of a water snake. Put it back! Put it back! He thought he shouted these words to his pang that
chunk_0074| he had not yet experienced. I'm sorry. He thought he shouted these words to his hands, for the undoing of the noose had been succeeded by the direst pang that he had not| he had not yet experienced. I'm sorry. He thought he shouted these words to his hands, for the undoing of the noose had been succeeded by the direst pang that he had not
chunk_0075| yet experienced. His neck ached horribly, his brain was on fire, his heart, which had been fluttering faintly, gave a great leap trying to force itself out| yet experienced. His neck ached horribly, his brain was on fire, his heart, which had been fluttering faintly, gave a great leap trying to force itself out
chunk_0076| of his mouth. His whole body was racked and wrenched with an insupportable anguish, but his disobedient hands gave no heed to the command. They beat the water-villain| of his mouth. His whole body was racked and wrenched with an insupportable anguish, but his disobedient hands gave no heed to the command. They beat the water-villain
chunk_0077| vigorously with quick downward strokes, forcing him to the surface. He felt his head emerge, his eyes were blinded by the sunlight, his chest| vigorously with quick downward strokes, forcing him to the surface. He felt his head emerge, his eyes were blinded by the sunlight, his chest
chunk_0078| convulsively, and with a supreme and crowning agony his lungs engulfed a great draught of air, which instantly he expelled in a shriek.| convulsively, and with a supreme and crowning agony his lungs engulfed a great draught of air, which instantly he expelled in a shriek.
chunk_0079| He was now in full possession of his physical senses. They were, indeed, preternaturally keen and alert. Something in the awful disturbance of the organic system had so exuded him| He was now in full possession of his physical senses. They were, indeed, preternaturally keen and alert. Something in the awful disturbance of the organic system had so exuded him
chunk_0080| He said,| He said,
chunk_0081| on the bank of the stream saw the individual trees, the leaves, and the veining on each leaf saw the very insects upon them, the locusts, the brilliant bodies| on the bank of the stream saw the individual trees, the leaves, and the veining on each leaf saw the very insects upon them, the locusts, the brilliant bodies
chunk_0082| flies, the gray spiders stretching their webs from twig to twig. He noted the prismatic colors in all the dewdrops upon a million blades of grass. The humming of the gnats| flies, the gray spiders stretching their webs from twig to twig. He noted the prismatic colors in all the dewdrops upon a million blades of grass. The humming of the gnats
chunk_0083| that danced above the eddies of the stream, the beating of the dragonfly's wings, the strokes of the water spider's legs, like oars which had lifted their boat, all these| that danced above the eddies of the stream, the beating of the dragonfly's wings, the strokes of the water spider's legs, like oars which had lifted their boat, all these
chunk_0084| made audible sound and music. A fish slid along beneath his eyes, and he heard the rush of its body parting the water.| made audible sound and music. A fish slid along beneath his eyes, and he heard the rush of its body parting the water.
chunk_0085| He had come to the surface facing the stream. In a moment the visible world seemed to wheel slowly round, himself the pivotal point, and he saw the bridge, the| He had come to the surface facing the stream. In a moment the visible world seemed to wheel slowly round, himself the pivotal point, and he saw the bridge, the
chunk_0086| the soldiers upon the bridge, the captain, the sergeant, the two privates, his executioners. They were in silhouette against the blue sky. They shone.| the soldiers upon the bridge, the captain, the sergeant, the two privates, his executioners. They were in silhouette against the blue sky. They shone.
chunk_0087| shouted and gesticulated, pointing at him. The captain had drawn his pistol, but did not fire. The others were unarmed, their movements were| shouted and gesticulated, pointing at him. The captain had drawn his pistol, but did not fire. The others were unarmed, their movements were
chunk_0088|" ""'protesque and horrible, their forms gigantic. ""'Suddenly he heard a sharp report ""'and something struck the water smartly ""'within a few inches of his head.'"|" ""'protesque and horrible, their forms gigantic. ""'Suddenly he heard a sharp report ""'and something struck the water smartly ""'within a few inches of his head.'"
chunk_0089| spattering his face with spray. He heard a second report, and saw one of the sentinels with his rifle at his shoulder, a light cloud of blue smoke rising from the muzzle,| spattering his face with spray. He heard a second report, and saw one of the sentinels with his rifle at his shoulder, a light cloud of blue smoke rising from the muzzle,
chunk_0090| the man in the water saw the eye of the man on the bridge gazing into his own through the sights of the rifle he observed that it was a gray eye and remembered having read that gray eye| the man in the water saw the eye of the man on the bridge gazing into his own through the sights of the rifle he observed that it was a gray eye and remembered having read that gray eye
chunk_0091| eyes were keenest, and that all-famous marksman had them. Nevertheless, this one had missed. A counter-swirl had carted Farquhar, and| eyes were keenest, and that all-famous marksman had them. Nevertheless, this one had missed. A counter-swirl had carted Farquhar, and
chunk_0092| turned him half round. He was again looking into the forest on the bank opposite the fort. The sound of a clear, high voice and a monotonous sing-song now rang out behind him, and he| turned him half round. He was again looking into the forest on the bank opposite the fort. The sound of a clear, high voice and a monotonous sing-song now rang out behind him, and he
chunk_0093| came across the water with a distinctness that pierced and subdued all other sounds, even the beating of the ripples in his ears. Although no soldier, he had frequented Califor| came across the water with a distinctness that pierced and subdued all other sounds, even the beating of the ripples in his ears. Although no soldier, he had frequented Califor
chunk_0094| enough to know the dread significance of that deliberate, drawling, aspirated chance. The lieutenant on shore was taking a part in the morning's work. How| enough to know the dread significance of that deliberate, drawling, aspirated chance. The lieutenant on shore was taking a part in the morning's work. How
chunk_0095| and pitilessly, with what an even, calm intonation, presaging and enforcing tranquility in the men, with what accurately measured interval,| and pitilessly, with what an even, calm intonation, presaging and enforcing tranquility in the men, with what accurately measured interval,
chunk_0096| fail those cruel words. Attention company! Shoulder arms! Ready! Aim! Fire!| fail those cruel words. Attention company! Shoulder arms! Ready! Aim! Fire!
chunk_0097| Farquhar dived, dived as deeply as he could. The water roared in his ears like the voice of Niagara, yet he heard the dull thunder of the valley, and, rising| Farquhar dived, dived as deeply as he could. The water roared in his ears like the voice of Niagara, yet he heard the dull thunder of the valley, and, rising
chunk_0098| again towards the surface, met shining bits of metal, singularly flattened, oscillating slowly downward. Some of them touched him on the face and hands, then fell away.| again towards the surface, met shining bits of metal, singularly flattened, oscillating slowly downward. Some of them touched him on the face and hands, then fell away.
chunk_0099| continuing their descent, one lodged between his collar and neck. It was uncomfortably warm, and he snatched it out. As he rose to the| continuing their descent, one lodged between his collar and neck. It was uncomfortably warm, and he snatched it out. As he rose to the
chunk_0100| surface, gasping for breath. He saw that he had been a long time underwater. He was perceptibly farther downstream, nearer to safety. The soldiers had almost finished R'hlo| surface, gasping for breath. He saw that he had been a long time underwater. He was perceptibly farther downstream, nearer to safety. The soldiers had almost finished R'hlo
chunk_0101| the metal ramrods flashed all at once in the sunshine as they were drawn from the barrels, turned in the air, and thrust into their sockets. The two sentinels fired| the metal ramrods flashed all at once in the sunshine as they were drawn from the barrels, turned in the air, and thrust into their sockets. The two sentinels fired
chunk_0102| again independently and ineffectually. The hunted man saw all this over his shoulder. He was now swimming vigorously with the currents. His brain was as| again independently and ineffectually. The hunted man saw all this over his shoulder. He was now swimming vigorously with the currents. His brain was as
chunk_0103| energetic as his arms and legs, he thought with the rapidity of lightning. The officer, he reasoned, will not make that martinet's error a second time.| energetic as his arms and legs, he thought with the rapidity of lightning. The officer, he reasoned, will not make that martinet's error a second time.
chunk_0104| It is as easy to dodge a volley as a single shot. He has probably already given the command to fire at will. God help me. I cannot dodge them all.| It is as easy to dodge a volley as a single shot. He has probably already given the command to fire at will. God help me. I cannot dodge them all.
chunk_0105| An appalling plash within two yards of him was followed by a loud rushing sound, diminuendo, which seemed to travel back through the| An appalling plash within two yards of him was followed by a loud rushing sound, diminuendo, which seemed to travel back through the
chunk_0106| the air to the fort and died in an explosion which stirred the very river to its deeps. A rising sheet of water curved over him, filled down upon him,| the air to the fort and died in an explosion which stirred the very river to its deeps. A rising sheet of water curved over him, filled down upon him,
chunk_0107| him strangled him the cannon had taken a hand in the game as he shook his head free from the commotion of the smitten water he heard the deflected shot humming| him strangled him the cannon had taken a hand in the game as he shook his head free from the commotion of the smitten water he heard the deflected shot humming
chunk_0108| through the air ahead, and in an instant it was cracking and smashing the branches in the forest beyond. They will not do that again, he thought. The next time they will use a| through the air ahead, and in an instant it was cracking and smashing the branches in the forest beyond. They will not do that again, he thought. The next time they will use a
chunk_0109| charge of grape. I must keep my eye upon the gun. The smoke will apprise me. The report arrives too late. It lags behind the missile. That is a good gun.| charge of grape. I must keep my eye upon the gun. The smoke will apprise me. The report arrives too late. It lags behind the missile. That is a good gun.
chunk_0110| Suddenly he felt himself whirled round and round, spinning like a top, the water, the banks, the forests, the now distant bridge, fort and men, all were in the same place.| Suddenly he felt himself whirled round and round, spinning like a top, the water, the banks, the forests, the now distant bridge, fort and men, all were in the same place.
chunk_0111| were commingled and blurred. Objects were represented by their colors only. Circular, horizontal streaks of color. That was all that he saw. He had been coaxed| were commingled and blurred. Objects were represented by their colors only. Circular, horizontal streaks of color. That was all that he saw. He had been coaxed
chunk_0112| caught in a vortex and was being whirled on with a velocity of advance and gyration that made him giddy and sick. In a few moments he was flung upon the gravel at the foot of| caught in a vortex and was being whirled on with a velocity of advance and gyration that made him giddy and sick. In a few moments he was flung upon the gravel at the foot of
chunk_0113| left bank of the stream, the southern bank, and behind a projecting point which concealed him from his enemies, the sudden arrest of his motion, the abrasion of one of his hands| left bank of the stream, the southern bank, and behind a projecting point which concealed him from his enemies, the sudden arrest of his motion, the abrasion of one of his hands
chunk_0114| on the gravel, restored him, and he wept with delight. He dug his fingers into the sand, threw it over himself in handfuls, and audibly| on the gravel, restored him, and he wept with delight. He dug his fingers into the sand, threw it over himself in handfuls, and audibly
chunk_0115| blessed it. It looked like diamonds, rubies, emeralds. He could think of nothing beautiful which it did not resemble. The trees upon the| blessed it. It looked like diamonds, rubies, emeralds. He could think of nothing beautiful which it did not resemble. The trees upon the
chunk_0116| bank were giant garden plants. He noted a definite order in their arrangement, inhaled the fragrance of their blooms. A strong, roseate light shone through the| bank were giant garden plants. He noted a definite order in their arrangement, inhaled the fragrance of their blooms. A strong, roseate light shone through the
chunk_0117| among their trunks, and the wind made in their branches the music of Aeolian harps. He had no wish to perfect his escape, was content to remain in that enchanting place| among their trunks, and the wind made in their branches the music of Aeolian harps. He had no wish to perfect his escape, was content to remain in that enchanting place
chunk_0118| spot until retaken. A whiz and rattle of grapeshot among the branches high above his head roused him from his dream. The baffled cannoneer had| spot until retaken. A whiz and rattle of grapeshot among the branches high above his head roused him from his dream. The baffled cannoneer had
chunk_0119| fired him a random farewell. He sprang to his feet, rushed up the sloping bank, and plunged into the forest. All that day he traveled.| fired him a random farewell. He sprang to his feet, rushed up the sloping bank, and plunged into the forest. All that day he traveled.
chunk_0120| laying his course by the rounding sun the forest seemed interminable nowhere did he discover a break in it not even a woodman's road he had not known that he lived in| laying his course by the rounding sun the forest seemed interminable nowhere did he discover a break in it not even a woodman's road he had not known that he lived in
chunk_0121| so wild a region, there was something uncanny in the revelation. By nightfall he was fatigued, foot sore, famishing. The thought of his| so wild a region, there was something uncanny in the revelation. By nightfall he was fatigued, foot sore, famishing. The thought of his
chunk_0122| wife and children urged him on. At last he found a road which led him in what he knew to be the right direction. It was as wide and straight as a city street, yet it seemed| wife and children urged him on. At last he found a road which led him in what he knew to be the right direction. It was as wide and straight as a city street, yet it seemed
chunk_0123| No fields bordered it. No dwelling anywhere. Not so much as the barking of a dog suggested human habitation. The black bodies of the trees formed a straight wall| No fields bordered it. No dwelling anywhere. Not so much as the barking of a dog suggested human habitation. The black bodies of the trees formed a straight wall
chunk_0124| on both sides, terminating on the horizon in a point, like a diagram in a lesson in perspective. Overhead, as he looked up through this rift in the wood,| on both sides, terminating on the horizon in a point, like a diagram in a lesson in perspective. Overhead, as he looked up through this rift in the wood,
chunk_0125| shown great golden stars looking unfamiliar and grouped in strange constellations. He was sure they were arranged in some order which had a secret| shown great golden stars looking unfamiliar and grouped in strange constellations. He was sure they were arranged in some order which had a secret
chunk_0126| and malign significance. The wood on either side was full of singular noises, among which, once, twice, and again, he distinctly heard whispers| and malign significance. The wood on either side was full of singular noises, among which, once, twice, and again, he distinctly heard whispers
chunk_0127| an unknown tongue. His neck was in pain, and lifting his hand to it he found it horribly swollen. He knew that it had a circle of black where the rope had| an unknown tongue. His neck was in pain, and lifting his hand to it he found it horribly swollen. He knew that it had a circle of black where the rope had
chunk_0128| bruised it. His eyes felt congested. He could no longer close them. His tongue was swollen with thirst. He relieved its fever by thrusting it forward from| bruised it. His eyes felt congested. He could no longer close them. His tongue was swollen with thirst. He relieved its fever by thrusting it forward from
chunk_0129| between his teeth into the cold air, how softly the turf had carpeted the untraveled avenue. He could no longer feel the roadway beneath his feet.| between his teeth into the cold air, how softly the turf had carpeted the untraveled avenue. He could no longer feel the roadway beneath his feet.
chunk_0130| Doubtless, despite his suffering, he had fallen asleep while walking. For now he sees another scene. Perhaps he was merely recovered from a delirium.| Doubtless, despite his suffering, he had fallen asleep while walking. For now he sees another scene. Perhaps he was merely recovered from a delirium.
chunk_0131| He stands at the gate of his own home. All is as he left it, and all bright and beautiful in the morning sunshine. He must have travelled the entire night.| He stands at the gate of his own home. All is as he left it, and all bright and beautiful in the morning sunshine. He must have travelled the entire night.
chunk_0132| As he pushes open the gate and passes up the wide, white walk, he sees a flutter of female garments. His wife, looking fresh and cool and sweet,| As he pushes open the gate and passes up the wide, white walk, he sees a flutter of female garments. His wife, looking fresh and cool and sweet,
