fileName|text_x|normalizedTest_x
chunk_0029| The Buddha is not God or even a god, and he never claimed anything different.| The Buddha is not God or even a god, and he never claimed anything different.
chunk_0030| Although it is viewed as a religion and has many millions of adherents, it isn't truly about worshiping anything| Although it is viewed as a religion and has many millions of adherents, it isn't truly about worshiping anything
chunk_0031| at all. It is about the simple facts of reality as experienced by each of us and it is| at all. It is about the simple facts of reality as experienced by each of us and it is
chunk_0032| about the mind and the way the mind creates reality in all of us.| about the mind and the way the mind creates reality in all of us.
chunk_0033| Since there were no words to define mental concepts such as the subconscious or neurology back in those times, the teachings are simple yet incredibly| Since there were no words to define mental concepts such as the subconscious or neurology back in those times, the teachings are simple yet incredibly
chunk_0034| insightful. Many of these old teachings were designed to be easy to memorize and adopt a particular cadence| insightful. Many of these old teachings were designed to be easy to memorize and adopt a particular cadence
chunk_0035| or rhythm to accomplish this. When reading this book, I invite you to consider it deeply and fairly, with heart, and to| or rhythm to accomplish this. When reading this book, I invite you to consider it deeply and fairly, with heart, and to
chunk_0036| take out of it only what is valuable to you, and what will benefit you in your own personal search for the truth. The teachings of the Buddha are not| take out of it only what is valuable to you, and what will benefit you in your own personal search for the truth. The teachings of the Buddha are not
chunk_0037| meant to be studied like a textbook, memorized in repeated parrot fashion. Instead, they are meant to be realized.| meant to be studied like a textbook, memorized in repeated parrot fashion. Instead, they are meant to be realized.
chunk_0038| on a deep intuitive level. If while reading this book you get the sensation that the penance| on a deep intuitive level. If while reading this book you get the sensation that the penance
chunk_0039| has dropped, or a light bulb moment, then it has accomplished its purpose. The Buddha said,| has dropped, or a light bulb moment, then it has accomplished its purpose. The Buddha said,
chunk_0040| By oneself, one is purified. By oneself, one is defiled. In other words, we have a| By oneself, one is purified. By oneself, one is defiled. In other words, we have a
chunk_0041| deep responsibility to take charge of our inner worlds and to examine our own hearts and minds in search of truth.| deep responsibility to take charge of our inner worlds and to examine our own hearts and minds in search of truth.
chunk_0042| Teachers are there to guide us, but in the end, it comes down to our own decisions. Of all the world's belief systems,| Teachers are there to guide us, but in the end, it comes down to our own decisions. Of all the world's belief systems,
chunk_0043| Buddhism is one of the most peaceful. Instead of making war on human beings,| Buddhism is one of the most peaceful. Instead of making war on human beings,
chunk_0044| with different beliefs, the Buddhist way is to struggle within, in our own hearts and minds, and to show compassion to our| with different beliefs, the Buddhist way is to struggle within, in our own hearts and minds, and to show compassion to our
chunk_0045| fellow human beings who are suffering from internal torments just as we are. These teachings appeal to people| fellow human beings who are suffering from internal torments just as we are. These teachings appeal to people
chunk_0046| from all walks of life, the rich, the poor, the educated, and the not so educated, the universal| from all walks of life, the rich, the poor, the educated, and the not so educated, the universal
chunk_0047| truths uncovered by the Buddha are relevant to anyone who has a mind and to anyone who is| truths uncovered by the Buddha are relevant to anyone who has a mind and to anyone who is
chunk_0048| conscious. It is a deep search into the nature of being, of reality itself, and it is put forward in a simple, practical,| conscious. It is a deep search into the nature of being, of reality itself, and it is put forward in a simple, practical,
chunk_0049| and useful way. So I invite you to share the story of the Buddha and the deep psychological| and useful way. So I invite you to share the story of the Buddha and the deep psychological
chunk_0050| understanding that he shared with us. Still relevant two and a half| understanding that he shared with us. Still relevant two and a half
chunk_0051| thousand years after his death. Many of these teachings are resurfacing today among psychologists and laymen alike.| thousand years after his death. Many of these teachings are resurfacing today among psychologists and laymen alike.
chunk_0052| Many self-help methodologies are based on the deep realization that he shared with the world so| Many self-help methodologies are based on the deep realization that he shared with the world so
chunk_0053| many years ago. Many of the new popular self-help gurus are simply restating the core message| many years ago. Many of the new popular self-help gurus are simply restating the core message
chunk_0054| of the Buddha. I further invite you to challenge all that is written here and to test it for| of the Buddha. I further invite you to challenge all that is written here and to test it for
chunk_0055| Take nothing as truth from any other person unless it rings true in your own mind and heart, and opens up doors of understanding.| Take nothing as truth from any other person unless it rings true in your own mind and heart, and opens up doors of understanding.
chunk_0056| for you. Disregard all the rest as interesting, but ultimately useless.| for you. Disregard all the rest as interesting, but ultimately useless.
chunk_0057| A Short Biography of the Buddha No introduction to Buddhism| A Short Biography of the Buddha No introduction to Buddhism
chunk_0058| will be complete without at least a short mention of the life story of the Buddha. The charming story has inspired millions of people.| will be complete without at least a short mention of the life story of the Buddha. The charming story has inspired millions of people.
chunk_0059| of people and holds within it many of the most valuable insights into the teachings we are about to consider. Over the years, the story| of people and holds within it many of the most valuable insights into the teachings we are about to consider. Over the years, the story
chunk_0060| of the birth, life, and death of this famous man has been embellished and many of the facts are disputed.| of the birth, life, and death of this famous man has been embellished and many of the facts are disputed.
chunk_0061| through all the different versions of the tale, the core idea remains the same. Let's take a look at a| through all the different versions of the tale, the core idea remains the same. Let's take a look at a
chunk_0062| generally accepted version of the story, the birth of a great man. Around 563 BC,| generally accepted version of the story, the birth of a great man. Around 563 BC,
chunk_0063| A boy was born to the king of the Sakya realm somewhere in the India-Nepal border.| A boy was born to the king of the Sakya realm somewhere in the India-Nepal border.
chunk_0064| a park named Lumbini. Five days after his birth, the little prince received the name Sedatra.| a park named Lumbini. Five days after his birth, the little prince received the name Sedatra.
chunk_0065| His father was King Sardana and his mother was Queen Maya.| His father was King Sardana and his mother was Queen Maya.
chunk_0066| One legend tells of a dream that Queen Maya had before giving birth to her son. In the dream, a beautiful white bird| One legend tells of a dream that Queen Maya had before giving birth to her son. In the dream, a beautiful white bird
chunk_0067| descended from the heavens into her womb, a sign that she would give birth to a universal child.| descended from the heavens into her womb, a sign that she would give birth to a universal child.
chunk_0068| Emperor. Sadly, the Queen died shortly after the birth of her son, and her younger sister took on the role| Emperor. Sadly, the Queen died shortly after the birth of her son, and her younger sister took on the role
chunk_0069| of surrogate. There was much sadness for the queen, but the birth of her son was a cause| of surrogate. There was much sadness for the queen, but the birth of her son was a cause
chunk_0070| for much comfort and rejoicing all over the realm. The naming ceremony| for much comfort and rejoicing all over the realm. The naming ceremony
chunk_0071| was attended by an ascetic, a Seda, a holy man from the Himalayas, and he was| was attended by an ascetic, a Seda, a holy man from the Himalayas, and he was
chunk_0072| most interested in the baby. To the surprise of all who saw it, the child's legs turned and rested on the mat| most interested in the baby. To the surprise of all who saw it, the child's legs turned and rested on the mat
chunk_0073| locks of the old man. Instantly, Aceta knew there was something special about the child.| locks of the old man. Instantly, Aceta knew there was something special about the child.
chunk_0074| that he was destined to become the Enlightened One, the early years.| that he was destined to become the Enlightened One, the early years.
chunk_0075| Little Siddhartha, with a family name, Gotama, was a very unusual child, as can be| Little Siddhartha, with a family name, Gotama, was a very unusual child, as can be
chunk_0076| seen from the following episode. While the king and his family were all involved in the exciting plowing festival,| seen from the following episode. While the king and his family were all involved in the exciting plowing festival,
chunk_0077| the little prince sat by himself under a rose apple tree and became lost in meditation for| the little prince sat by himself under a rose apple tree and became lost in meditation for
chunk_0078| looking at the wonders of nature around him. His incredible focus and rapt concentration brought exclamations| looking at the wonders of nature around him. His incredible focus and rapt concentration brought exclamations
chunk_0079| of surprise from all that saw him. His entire youth was spent in a protected seclusion.| of surprise from all that saw him. His entire youth was spent in a protected seclusion.
chunk_0080| The king made sure that no harm could possibly come to this sensitive, blessed young boy. Three lotus ponds were built especially for him.| The king made sure that no harm could possibly come to this sensitive, blessed young boy. Three lotus ponds were built especially for him.
chunk_0081| his amusement, and only the finest clothing touched his skin. Night and day, apparel| his amusement, and only the finest clothing touched his skin. Night and day, apparel
chunk_0082| was held over his head so that no harsh sun or rain could harm him. Servants waited on his ever| was held over his head so that no harsh sun or rain could harm him. Servants waited on his ever
chunk_0083| need, and the boy was lacking for nothing. More than that, the king carefully planned| need, and the boy was lacking for nothing. More than that, the king carefully planned
chunk_0084| things so that the boy would never see any sick, infirm, or elderly people. All signs| things so that the boy would never see any sick, infirm, or elderly people. All signs
chunk_0085| of suffering were vigilantly kept away from his eyes. At the age of sixteen, he was betrothed to the beautiful Princess Yasodhara.| of suffering were vigilantly kept away from his eyes. At the age of sixteen, he was betrothed to the beautiful Princess Yasodhara.
chunk_0086| Young Siddhartha excelled mentally and physically, and everything in his royal life was just roses.| Young Siddhartha excelled mentally and physically, and everything in his royal life was just roses.
chunk_0087| but the sensitive youth was not content. He developed an insatiable urge to explore| but the sensitive youth was not content. He developed an insatiable urge to explore
chunk_0088| the real world. He decided to visit a nearby town. The king got word of his intentions and made sure that the entire world| the real world. He decided to visit a nearby town. The king got word of his intentions and made sure that the entire world
chunk_0089| route to town was prepared, swept, and made ready, but it was useless. When Siddhartha finally made the journey, he saw an| route to town was prepared, swept, and made ready, but it was useless. When Siddhartha finally made the journey, he saw an
chunk_0090| the first he had ever laid eyes on. He inquired about the strange sight and was finally told the truth. Later on,| the first he had ever laid eyes on. He inquired about the strange sight and was finally told the truth. Later on,
chunk_0091| he came across sickly people and saw a funeral procession. The veils of ignorance were lifted from his eyes and he saw the| he came across sickly people and saw a funeral procession. The veils of ignorance were lifted from his eyes and he saw the
chunk_0092| the ugly truth once and for all. While living in the lap of luxury, he realized the universal sorrow that comes| the ugly truth once and for all. While living in the lap of luxury, he realized the universal sorrow that comes
chunk_0093| comes with life. The last straw for the young prince was a meeting with a hermit, an ascetic holy man| comes with life. The last straw for the young prince was a meeting with a hermit, an ascetic holy man
chunk_0094| who had given up all material pursuits and followed a different way. Enthralled by the peace and tranquility| who had given up all material pursuits and followed a different way. Enthralled by the peace and tranquility
chunk_0095| he saw in the old hermit's eyes, he made up his mind to leave his luxurious life behind and set out on his own to find his way home.| he saw in the old hermit's eyes, he made up his mind to leave his luxurious life behind and set out on his own to find his way home.
chunk_0096| find the truth. Renunciations and Journeys. By now, Siddhartha| find the truth. Renunciations and Journeys. By now, Siddhartha
chunk_0097| already had a child with his young bride, and his father the king was determined to change his mind.| already had a child with his young bride, and his father the king was determined to change his mind.
chunk_0098| but it was no use. One night, the prince took one final look at his idyllic life,| but it was no use. One night, the prince took one final look at his idyllic life,
chunk_0099| saw that his wife and child would never lack anything, and made his decision, taking his horse,| saw that his wife and child would never lack anything, and made his decision, taking his horse,
chunk_0100| and accompanied by his loyal charioteer, Shanda, he stole away at midnight, leaving it all behind him.| and accompanied by his loyal charioteer, Shanda, he stole away at midnight, leaving it all behind him.
chunk_0101| Before leaving the city gates, Siddhartha exchanged his fine garments for this simple yellow robe.| Before leaving the city gates, Siddhartha exchanged his fine garments for this simple yellow robe.
chunk_0102| of an ascetic, a seeker, and he shaved off all his hair. He sent Shonda home with the| of an ascetic, a seeker, and he shaved off all his hair. He sent Shonda home with the
chunk_0103| and set off alone. In this way he gained the name Sakyamuni, or Aesthetic of the Sakyamuni.| and set off alone. In this way he gained the name Sakyamuni, or Aesthetic of the Sakyamuni.
chunk_0104| It is noteworthy that he made the decision in the prime of his life with absolutely everything| It is noteworthy that he made the decision in the prime of his life with absolutely everything
chunk_0105| He was not defeated, impoverished, or disillusioned with his riches. He was a man who had absolutely everything.| He was not defeated, impoverished, or disillusioned with his riches. He was a man who had absolutely everything.
chunk_0106| everything that others dreamed of, and yet his journey for truth was more powerful than the huge social| everything that others dreamed of, and yet his journey for truth was more powerful than the huge social
chunk_0107| pressure, the responsibilities of a father and a king-to-be, and every other thing in his life.| pressure, the responsibilities of a father and a king-to-be, and every other thing in his life.
chunk_0108| He simply gave it all up as nothing, knowing full well that his happiness was connected to his inner craving for enlightenment.| He simply gave it all up as nothing, knowing full well that his happiness was connected to his inner craving for enlightenment.
chunk_0109| So he embarked on a search, which would last for the next few years, going from one teacher to the next,| So he embarked on a search, which would last for the next few years, going from one teacher to the next,
chunk_0110| and looking all over for the one thing he really desired, a very special kind of nonfiction.| and looking all over for the one thing he really desired, a very special kind of nonfiction.
chunk_0111| The Search for Truth This part of the Buddha's life was all about seeking out answers| The Search for Truth This part of the Buddha's life was all about seeking out answers
chunk_0112| to the questions he had formed while growing up. Why do we live, age, suffer, and finally die?| to the questions he had formed while growing up. Why do we live, age, suffer, and finally die?
chunk_0113| He was filled with a burning desire to know, how does one obtain all| He was filled with a burning desire to know, how does one obtain all
chunk_0114| ultimate peace. What does it all mean? At this time in history, the place where Siddhartha lived| ultimate peace. What does it all mean? At this time in history, the place where Siddhartha lived
chunk_0115| There were many holy men who proclaimed to have knowledge of these things. Monks and ascetics would go off into the| There were many holy men who proclaimed to have knowledge of these things. Monks and ascetics would go off into the
chunk_0116| and perform certain practices which they claimed held the keys to attaining a very strong| and perform certain practices which they claimed held the keys to attaining a very strong
chunk_0117| special state of mind. They would go without food and perform the most austere disciplines,| special state of mind. They would go without food and perform the most austere disciplines,
chunk_0118| withstanding pain, going without sleep, and training their bodies to hold their breath for a long time,| withstanding pain, going without sleep, and training their bodies to hold their breath for a long time,
chunk_0119| For about six years, he wandered the land, going from one teacher or guru to the next, his unbending intent and his| For about six years, he wandered the land, going from one teacher or guru to the next, his unbending intent and his
chunk_0120| his sharp mind came to good use, and he soon surpassed his teachers. One,| his sharp mind came to good use, and he soon surpassed his teachers. One,
chunk_0121| after the other. They taught him ancient concentration techniques and methods to master the mind| after the other. They taught him ancient concentration techniques and methods to master the mind
chunk_0122| the breath and the body. But still, Siddhartha was dissatisfied. After some| the breath and the body. But still, Siddhartha was dissatisfied. After some
chunk_0123| six long years, his body was reduced to almost a skeleton and he was weak. His eyes were sunken.| six long years, his body was reduced to almost a skeleton and he was weak. His eyes were sunken.
chunk_0124| His skin was pale and death-like. It was at this point that he realized the futility of starving the body| His skin was pale and death-like. It was at this point that he realized the futility of starving the body
chunk_0125| and torturing his physical being. This was pointless, he decided, and just as harmful| and torturing his physical being. This was pointless, he decided, and just as harmful
chunk_0126| as a life of indulgence and greed. Instead, he decided that the middle way was more practical.| as a life of indulgence and greed. Instead, he decided that the middle way was more practical.
chunk_0127| needs, and nothing more. He decided that he would never find the answers he longed for with these men, and| needs, and nothing more. He decided that he would never find the answers he longed for with these men, and
chunk_0128| made up his mind to depart once more. His fellow students and teachers were horrified, thinking that he had given up| made up his mind to depart once more. His fellow students and teachers were horrified, thinking that he had given up
chunk_0129| his spiritual pursuits and turn to a worldly life. This didn't bother the former prince in the least.| his spiritual pursuits and turn to a worldly life. This didn't bother the former prince in the least.
chunk_0130| His mind was set on attaining what he had longed for since childhood, and nothing would stop him.| His mind was set on attaining what he had longed for since childhood, and nothing would stop him.
chunk_0131| so he set off to find the answers elsewhere. He finally realized that the answers he sought were to be found not in the forest or on| so he set off to find the answers elsewhere. He finally realized that the answers he sought were to be found not in the forest or on
chunk_0132| mountain but inside him. Discipline of the body led to weakness but discipline of the mind had led him to peace and insight.| mountain but inside him. Discipline of the body led to weakness but discipline of the mind had led him to peace and insight.
chunk_0133| while he was still just a boy. He remembered his time under the rose apple tree. He decided to follow his own way.| while he was still just a boy. He remembered his time under the rose apple tree. He decided to follow his own way.
chunk_0134| Wandering throughout the countryside, he finally came upon an idyllic setting beneath a| Wandering throughout the countryside, he finally came upon an idyllic setting beneath a
chunk_0135| kind of fig tree, Ficus religioso, the famous Bodhi tree.| kind of fig tree, Ficus religioso, the famous Bodhi tree.
chunk_0136| a kind woman offered him a bowl of rice milk, and he slowly started to regain his strength.| a kind woman offered him a bowl of rice milk, and he slowly started to regain his strength.
chunk_0137| Buddha. His mind firmly made up, Siddhartha Gotama decided that he would sit under that tree| Buddha. His mind firmly made up, Siddhartha Gotama decided that he would sit under that tree
chunk_0138| until he found the answers that he was looking for. The account of this titanic struggle has come to be mythological| until he found the answers that he was looking for. The account of this titanic struggle has come to be mythological
chunk_0139| as a struggle with a fierce demon called Mara. The name means,| as a struggle with a fierce demon called Mara. The name means,
chunk_0140| destruction, and it symbolizes the mind's power to ensnare and delude us by means| destruction, and it symbolizes the mind's power to ensnare and delude us by means
chunk_0141| of our own passions and fears. The attacks came in the form of fearful apparitions and attempts to distract him with sensuality.| of our own passions and fears. The attacks came in the form of fearful apparitions and attempts to distract him with sensuality.
chunk_0142| sensual pleasures, beautiful women, and all manner of distractions. This is the way of our minds.| sensual pleasures, beautiful women, and all manner of distractions. This is the way of our minds.
chunk_0143| attach ourselves to dreams of what could be and what we wish for or fear. Prepared for this struggle,| attach ourselves to dreams of what could be and what we wish for or fear. Prepared for this struggle,
chunk_0144| by his unique life experiences, having gone through the best and the worst that this world has to offer,| by his unique life experiences, having gone through the best and the worst that this world has to offer,
chunk_0145| Siddhartha persevered, centered his mind, and did not tire. He had already given up on a life-pursuing platform,| Siddhartha persevered, centered his mind, and did not tire. He had already given up on a life-pursuing platform,
chunk_0146| and sense gratification by leaving the stately palace and his royal life far behind him.| and sense gratification by leaving the stately palace and his royal life far behind him.
chunk_0147| His energetic pursuit of spiritual knowledge had given him| His energetic pursuit of spiritual knowledge had given him
chunk_0148| unshakable discipline and an incredible willpower. He had nothing left to lose. So he meditated under the| unshakable discipline and an incredible willpower. He had nothing left to lose. So he meditated under the
chunk_0149| and achieved a particular state of mind which is known as single-pointed mind or one-pointed concentration.| and achieved a particular state of mind which is known as single-pointed mind or one-pointed concentration.
chunk_0150| Focusing on his breath, he stilled the constant chatter of the mind and entered a state of bliss.| Focusing on his breath, he stilled the constant chatter of the mind and entered a state of bliss.
chunk_0151| was flooded with insights. Thus he achieved enlightenment and became known as the Buddha or Enlightened One.| was flooded with insights. Thus he achieved enlightenment and became known as the Buddha or Enlightened One.
chunk_0152| Dissolution with all the teachings he had found, and unsatisfied with all his previous teachers,| Dissolution with all the teachings he had found, and unsatisfied with all his previous teachers,
chunk_0153| the meaning of his own existence with the utmost concentration and| the meaning of his own existence with the utmost concentration and
chunk_0154| and found his own way. Legend holds that he sat under the tree for seven days, keeping the same| and found his own way. Legend holds that he sat under the tree for seven days, keeping the same
chunk_0155| and rapt concentration. When he finally rose, he was a changed man.| and rapt concentration. When he finally rose, he was a changed man.
chunk_0156| teacher. At first, the Buddha was reluctant to teach people. Words can be treacherous, and he realized| teacher. At first, the Buddha was reluctant to teach people. Words can be treacherous, and he realized
chunk_0157| that the way to enlightenment is not by studying books, but rather by confronting the mind and the experience of life itself.| that the way to enlightenment is not by studying books, but rather by confronting the mind and the experience of life itself.
chunk_0158| head-on. How could he share this knowledge? But his teachings would become very widely known.| head-on. How could he share this knowledge? But his teachings would become very widely known.
chunk_0159| After his enlightenment, he wandered to Deer Park in Isipatana, now part of Uttar| After his enlightenment, he wandered to Deer Park in Isipatana, now part of Uttar
chunk_0160| India. He met some of his former fellow students and related his experience. They begged him| India. He met some of his former fellow students and related his experience. They begged him
chunk_0161| to tell them more, and out of compassion he decided to teach others the way to the great freedom he had found| to tell them more, and out of compassion he decided to teach others the way to the great freedom he had found
chunk_0162| on his own. From that point onwards until his 80th year,| on his own. From that point onwards until his 80th year,
chunk_0163| The Buddha wandered throughout the region, teaching all who would listen about the great insights that he had attained under the famous tree.| The Buddha wandered throughout the region, teaching all who would listen about the great insights that he had attained under the famous tree.
chunk_0164| Many thousands of followers were attracted to the unusual teachings of this humble, unassuming man.| Many thousands of followers were attracted to the unusual teachings of this humble, unassuming man.
chunk_0165| He demanded nothing from his listeners and tirelessly taught everyone that he could. His followers eventually came to include many| He demanded nothing from his listeners and tirelessly taught everyone that he could. His followers eventually came to include many
chunk_0166| of those he had left behind, including his father, King Suttadana.| of those he had left behind, including his father, King Suttadana.
chunk_0167| his wife, and his son. Until his last day in the world, he taught the same basic truth, the way to enlightenment,| his wife, and his son. Until his last day in the world, he taught the same basic truth, the way to enlightenment,
chunk_0168| his final words before he died were, Behold, O monks, this is my last advice to| his final words before he died were, Behold, O monks, this is my last advice to
chunk_0169| All component things in the world are changeable. They are not lasting.| All component things in the world are changeable. They are not lasting.
chunk_0170| hard to gain your own salvation. The basic teachings of the Buddha. Walk,| hard to gain your own salvation. The basic teachings of the Buddha. Walk,
chunk_0171| as if you are kissing the earth with your feet. Fitch Not Hong. The background of this| as if you are kissing the earth with your feet. Fitch Not Hong. The background of this
chunk_0172| the life of Siddhartha Gautama, who became the enlightened Buddha, gives us a good place to start considering what Buddhism really is.| the life of Siddhartha Gautama, who became the enlightened Buddha, gives us a good place to start considering what Buddhism really is.
chunk_0173| he is. It is the result of his own personal inquiry into the nature of reality, considering things as they are.| he is. It is the result of his own personal inquiry into the nature of reality, considering things as they are.
chunk_0174| Of course, this is the claim of many philosophical and religious views too. So what makes Buddhism different?| Of course, this is the claim of many philosophical and religious views too. So what makes Buddhism different?
chunk_0175| Buddhism does not concern itself with abstract philosophical ponderings about God, creation,| Buddhism does not concern itself with abstract philosophical ponderings about God, creation,
chunk_0176| anything along those lines. It is focused on how to attain liberation from suffering and has its foundation| anything along those lines. It is focused on how to attain liberation from suffering and has its foundation
chunk_0177| in Four Noble Truths that the Buddha uncovered. These were not strictly his theories, but rather observations| in Four Noble Truths that the Buddha uncovered. These were not strictly his theories, but rather observations
chunk_0178| about natural laws or simple truths, and the invitation is open for anyone to question them or to verify them.| about natural laws or simple truths, and the invitation is open for anyone to question them or to verify them.
chunk_0179| for yourself. The Four Noble Truths. The first noble truth is that| for yourself. The Four Noble Truths. The first noble truth is that
chunk_0180| the idea of suffering. In other words, life is a struggle. This is a simple fact.| the idea of suffering. In other words, life is a struggle. This is a simple fact.
chunk_0181| and isn't just a pessimistic point of view. We all suffer in life, rich or poor, old or young,| and isn't just a pessimistic point of view. We all suffer in life, rich or poor, old or young,
chunk_0182| no matter who we are. We all dream of an idyllic life, but even once we get some of the things we| no matter who we are. We all dream of an idyllic life, but even once we get some of the things we
chunk_0183| that we believe will make us happy, pain is sure to follow. We might make enormous sums of money| that we believe will make us happy, pain is sure to follow. We might make enormous sums of money
chunk_0184| only to find that this brings no lasting joy. We might win the| only to find that this brings no lasting joy. We might win the
chunk_0185| love of the one person in the world that we believe will make us happy, only to find that the same troubles in life find us.| love of the one person in the world that we believe will make us happy, only to find that the same troubles in life find us.
chunk_0186| and ruin our happiness. Everything is temporary and nothing lasts.| and ruin our happiness. Everything is temporary and nothing lasts.
chunk_0187| Soon enough, each one of us has to face sickness, old age, and finally death.| Soon enough, each one of us has to face sickness, old age, and finally death.
chunk_0188| This is the cause of our suffering. Of course, this doesn't mean that life is empty and meaningless and that there is none| This is the cause of our suffering. Of course, this doesn't mean that life is empty and meaningless and that there is none
chunk_0189| good. It simply points to the fact that all this happiness is quite temporary because it can't| good. It simply points to the fact that all this happiness is quite temporary because it can't
chunk_0190| can't be maintained forever. The truth is that each one of us desires to be happy all the time. The term dukkha is| can't be maintained forever. The truth is that each one of us desires to be happy all the time. The term dukkha is
chunk_0191| to name the suffering. It means contemptible emptiness devoid of reality. This refers to our constant| to name the suffering. It means contemptible emptiness devoid of reality. This refers to our constant
chunk_0192| chasing after imaginary happiness. As soon as the elusive object of our happiness is achieved,| chasing after imaginary happiness. As soon as the elusive object of our happiness is achieved,
chunk_0193| achieved, it soon turns into an object of scorn or dissatisfaction. While all of us have| achieved, it soon turns into an object of scorn or dissatisfaction. While all of us have
chunk_0194| some form of happiness in life and we cherish certain experiences. This happiness tends to| some form of happiness in life and we cherish certain experiences. This happiness tends to
chunk_0195| be fleeting, it isn't permanent. The second noble truth is related| be fleeting, it isn't permanent. The second noble truth is related
chunk_0196| to the origin of the suffering, our own craving, desires, passions, and fears.| to the origin of the suffering, our own craving, desires, passions, and fears.
chunk_0197| The Dhammapada states, From craving springs grief, from craving springs fear, for him| The Dhammapada states, From craving springs grief, from craving springs fear, for him
chunk_0198| What are we craving?| What are we craving?
chunk_0199| life itself in all its splendor and all its horror. We crave| life itself in all its splendor and all its horror. We crave
chunk_0200| the experience of life. We desire certain things and fear others. We are attached to the sensation of this craving and cannot easily let it| the experience of life. We desire certain things and fear others. We are attached to the sensation of this craving and cannot easily let it
chunk_0201| It is all tied up with our own sense of self, our identity. We desire certain things and reject certain things.| It is all tied up with our own sense of self, our identity. We desire certain things and reject certain things.
